"date","LLY"
2025-12-01,1054.31
2025-12-02,1042.58
2025-12-03,1030.06
2025-12-04,1011.06
2025-12-05,1006.89
2025-12-08,994.22
2025-12-09,978.9
2025-12-10,990.28
2025-12-11,1005.97
2025-12-12,1024.04
2025-12-15,1058.6
2025-12-16,1050.72
2025-12-17,1038.27
2025-12-18,1053.31
2025-12-19,1067.82
2025-12-22,1072.84
2025-12-23,1068.02
2025-12-24,1073.34
2025-12-26,1074.11
2025-12-29,1075.08
2025-12-30,1076.1
2025-12-31,1071.05
2026-01-02,1076.71
2026-01-05,1037.99
2026-01-06,1060.44
2026-01-07,1104.34
2026-01-08,1081.52
2026-01-09,1059.96
2026-01-12,1077.34
2026-01-13,1073.55
2026-01-14,1069.66
2026-01-15,1029.48
2026-01-16,1034.89
2026-01-20,1037.77
2026-01-21,1074.87
2026-01-22,1083.7
2026-01-23,1060.69
2026-01-26,1059.16
2026-01-27,1035.99
2026-01-28,1020.34
2026-01-29,1020.68
2026-01-30,1033.64
2026-02-02,1040.6
2026-02-03,1000.07
2026-02-04,1103.38
2026-02-05,1017.39
2026-02-06,1054.6
2026-02-09,1041.14
2026-02-10,1021.53
2026-02-11,1011.78
2026-02-12,1034.76
2026-02-13,1038.21
2026-02-17,1034.27
2026-02-18,1018.81
2026-02-19,1021.46
2026-02-20,1007.79
2026-02-23,1056.74
2026-02-24,1040.36
2026-02-25,1027.06
2026-02-26,1020.26
2026-02-27,1050.18
2026-03-02,1016.22
2026-03-03,1006
2026-03-04,1001.85
2026-03-05,981.57
2026-03-06,988.63
2026-03-09,1006.66
2026-03-10,999.63
2026-03-11,998.12
2026-03-12,975.57
2026-03-13,983.39
2026-03-16,987.42
2026-03-17,928.75
2026-03-18,916.47
2026-03-19,915.92
2026-03-20,905.14
2026-03-23,908.99
2026-03-24,901.47
2026-03-25,914.74
2026-03-26,895.46
2026-03-27,876.73
2026-03-30,885.11
2026-03-31,918.19
2026-04-01,952.88
2026-04-02,933.97
2026-04-06,925.47
2026-04-07,929.49
2026-04-08,951.66
2026-04-09,953.55
2026-04-10,937.86
2026-04-13,927.95
2026-04-14,920.91
2026-04-15,903.47
2026-04-16,902.44
2026-04-17,925.44
2026-04-20,918.32
2026-04-21,901.47
2026-04-22,919.9
2026-04-23,916.07
2026-04-24,882.44
2026-04-27,866.78
2026-04-28,872.5
2026-04-29,849.75
2026-04-30,932.99
2026-05-01,961.67
