"date","NVDA"
2025-12-01,179.9
2025-12-02,181.44
2025-12-03,179.57
2025-12-04,183.37
2025-12-05,182.4
2025-12-08,185.54
2025-12-09,184.96
2025-12-10,183.77
2025-12-11,180.92
2025-12-12,175.01
2025-12-15,176.28
2025-12-16,177.71
2025-12-17,170.93
2025-12-18,174.13
2025-12-19,180.98
2025-12-22,183.68
2025-12-23,189.2
2025-12-24,188.6
2025-12-26,190.52
2025-12-29,188.21
2025-12-30,187.53
2025-12-31,186.49
2026-01-02,188.84
2026-01-05,188.11
2026-01-06,187.23
2026-01-07,189.1
2026-01-08,185.03
2026-01-09,184.85
2026-01-12,184.93
2026-01-13,185.8
2026-01-14,183.13
2026-01-15,187.04
2026-01-16,186.22
2026-01-20,178.06
2026-01-21,183.31
2026-01-22,184.83
2026-01-23,187.66
2026-01-26,186.46
2026-01-27,188.51
2026-01-28,191.51
2026-01-29,192.5
2026-01-30,191.12
2026-02-02,185.6
2026-02-03,180.33
2026-02-04,174.18
2026-02-05,171.87
2026-02-06,185.4
2026-02-09,190.03
2026-02-10,188.53
2026-02-11,190.04
2026-02-12,186.93
2026-02-13,182.8
2026-02-17,184.96
2026-02-18,187.97
2026-02-19,187.89
2026-02-20,189.81
2026-02-23,191.54
2026-02-24,192.84
2026-02-25,195.55
2026-02-26,184.88
2026-02-27,177.18
2026-03-02,182.47
2026-03-03,180.04
2026-03-04,183.03
2026-03-05,183.33
2026-03-06,177.81
2026-03-09,182.64
2026-03-10,184.76
2026-03-11,186.03
2026-03-12,183.14
2026-03-13,180.25
2026-03-16,183.22
2026-03-17,181.93
2026-03-18,180.4
2026-03-19,178.56
2026-03-20,172.7
2026-03-23,175.64
2026-03-24,175.2
2026-03-25,178.68
2026-03-26,171.24
2026-03-27,167.52
2026-03-30,165.17
2026-03-31,174.4
2026-04-01,175.75
2026-04-02,177.39
2026-04-06,177.64
2026-04-07,178.1
2026-04-08,182.08
2026-04-09,183.91
2026-04-10,188.63
2026-04-13,189.31
2026-04-14,196.51
2026-04-15,198.87
2026-04-16,198.35
2026-04-17,201.68
2026-04-20,202.06
2026-04-21,199.88
2026-04-22,202.5
2026-04-23,199.64
2026-04-24,208.27
2026-04-27,216.61
2026-04-28,213.17
2026-04-29,209.25
2026-04-30,199.57
2026-05-01,198.45
