"canonical_company","sum_low","sum_high"
"Microsoft Corporation",8628022,35645000
"Amazon.com, Inc.",8384021,35110000
"Meta Platforms Inc",7050020,29425000
"Vanguard Dividend Appreciation ETF",5200003,25500000
"Vanguard S&P 500 ETF",4500005,2.1e+07
"Oracle Corporation",2480017,11275000
"SPDR S&P 500 ETF Trust",2500004,1.1e+07
"NVIDIA Corporation",3568015,10245000
"CDW Corporation",2032006,10130000
"Apple Inc",2765012,8750000
"Accenture plc",2200014,7575000
"Netflix Inc.",1938019,7120000
"iShares Core MSCI Emerging Markets ETF",2000003,7e+06
"Uber Technologies Inc",1817016,6905000
"Broadcom Inc",1796012,6865000
"Costco Wholesale Corporation",1628013,6545000
"Eaton Corporation plc",1667007,6430000
"Adobe Inc",1566015,6390000
"The Walt Disney Company",1479014,6310000
"The Boeing Company",1548008,6195000
