"canonical_company","count"
"Microsoft Corporation",22
"Amazon.com, Inc.",21
"Meta Platforms Inc",20
"Netflix Inc.",19
"Advanced Micro Devices Inc",17
"Oracle Corporation",17
"Abbott Laboratories",16
"Alphabet Inc",16
"DoorDash Inc.",16
"Palantir Technologies Inc.",16
"The Home Depot Inc.",16
"Uber Technologies Inc",16
"UnitedHealth Group Inc",16
"Verizon Communications Inc.",16
"Visa Inc.",16
"Adobe Inc",15
"NVIDIA Corporation",15
"QUALCOMM Incorporated",15
"Accenture plc",14
"Berkshire Hathaway Inc.",14
"GoDaddy Inc",14
"Intuit Inc.",14
"JPMorgan Chase & Co.",14
"Salesforce Inc",14
"The Walt Disney Company",14
"Workday, Inc.",14
